##### B plain
rope_ntk=False rope_ref_len=1024
  1024       23.07      4
  2048       35.08      2
  4096      107.57      1
  8192      228.51      1
 16384      399.06      1
##### B --ntk
rope_ntk=True rope_ref_len=1024
  1024       23.07      4
  2048       25.00      2
  4096       28.24      1
  8192       38.85      1
 16384       61.85      1
##### Jm c=0
cross_scale_s=0.0 cross_shift_c=0.0 cross_scale_ref=32.0
  1024       22.80      4
  2048       23.53      2
  4096       26.65      1
  8192       48.53      1
 16384      119.95      1
##### Jm c=1.5
cross_scale_s=0.0 cross_shift_c=1.5 cross_scale_ref=32.0
  1024       22.80      4
  2048       23.62      2
  4096       23.41      1
  8192       24.87      1
 16384       30.28      1
##### Jmr c=0
cross_scale_s=0.0 cross_shift_c=0.0 cross_scale_ref=32.0
  1024       24.75      4
  2048       25.94      2
  4096       29.44      1
  8192       58.39      1
 16384      150.28      1
##### Jmr c=1.5
cross_scale_s=0.0 cross_shift_c=1.5 cross_scale_ref=32.0
  1024       24.75      4
  2048       26.00      2
  4096       25.61      1
  8192       27.18      1
 16384       32.93      1
