##### B s2 plain
rope_ntk=False rope_ref_len=1024
  1024       23.02      4
  2048       28.95      2
  4096       43.50      1
  8192       84.79      1
 16384      194.69      1
##### B s2 --ntk
rope_ntk=True rope_ref_len=1024
  1024       23.02      4
  2048       24.96      2
  4096       27.74      1
  8192       34.49      1
 16384       54.16      1
##### Jm s2 c=0
cross_scale_s=0.0 cross_shift_c=0.0 cross_scale_ref=32.0
  1024       22.86      4
  2048       23.61      2
  4096       33.15      1
  8192       77.83      1
 16384      185.62      1
##### Jm s2 c=1.0
cross_scale_s=0.0 cross_shift_c=1.0 cross_scale_ref=32.0
  1024       22.86      4
  2048       23.58      2
  4096       23.66      1
  8192       27.69      1
 16384       37.98      1
##### Jm s2 c=1.5
cross_scale_s=0.0 cross_shift_c=1.5 cross_scale_ref=32.0
  1024       22.87      4
  2048       23.66      2
  4096       23.49      1
  8192       25.30      1
 16384       30.84      1
##### Jmr s2 c=0
cross_scale_s=0.0 cross_shift_c=0.0 cross_scale_ref=32.0
  1024       24.24      4
  2048       25.35      2
  4096       29.63      1
  8192       62.97      1
 16384      180.52      1
##### Jmr s2 c=1.0
cross_scale_s=0.0 cross_shift_c=1.0 cross_scale_ref=32.0
  1024       24.24      4
  2048       25.32      2
  4096       25.35      1
  8192       29.32      1
 16384       40.55      1
##### Jmr s2 c=1.5
cross_scale_s=0.0 cross_shift_c=1.5 cross_scale_ref=32.0
  1024       24.24      4
  2048       25.37      2
  4096       25.10      1
  8192       26.88      1
 16384       32.35      1
